order_date,product,region,sales_amount
2023-10-01,Monitor,Central,179.766
2023-07-31,Tablet,West,2329.97
2024-12-24,Chair,South,3085.296
2024-11-15,Phone,North,143.469
2025-03-13,Monitor,West,523.464
2024-03-03,Tablet,East,4186.59
2023-02-11,Tablet,Central,9864.18
2023-10-26,Desk,South,5982.9575
2023-10-21,Monitor,South,2418.624
2024-01-14,Tablet,Central,483.531
2023-07-27,Desk,Central,4985.19
2024-10-23,Phone,South,5613.552
2023-09-26,Chair,South,2344.215
2023-12-16,Phone,East,3138.2
2024-01-02,Printer,Central,6686.67
2024-02-16,Phone,North,318.25
2024-05-03,Monitor,East,1772.0375
2023-05-27,Monitor,West,2435.553
2023-01-05,Desk,East,6990.24
2025-05-21,Chair,East,2202.52
2023-07-21,Tablet,Central,7340.94
2025-05-25,Laptop,East,237.75
2024-11-16,Tablet,South,9870.12
2023-11-19,Laptop,North,7992.616
2025-01-12,Laptop,Central,5862.165
2023-03-29,Monitor,North,9575.145
2025-03-01,Desk,North,1367.24
2023-10-18,Chair,North,5040.33
2025-04-13,Desk,East,4629.9
2025-05-13,Laptop,Central,3060.596
2024-04-21,Printer,West,4998.748
2025-01-31,Monitor,Central,307.6385
2025-03-14,Chair,Central,5030.7
2024-05-26,Laptop,West,8358.56
2023-07-22,Phone,North,7565.4675
2024-03-21,Laptop,North,3756.456
2023-04-05,Printer,West,663.0
2024-08-26,Monitor,East,1074.165
2024-07-07,Desk,North,1698.6
2023-09-29,Monitor,East,2222.297
2023-10-04,Monitor,West,520.704
2025-06-09,Printer,Central,140.486
2025-06-12,Printer,East,6616.656
2024-06-29,Chair,East,504.15
2024-03-23,Printer,North,446.726
2024-07-14,Tablet,South,604.64
2024-03-15,Tablet,South,1202.274
2025-04-19,Chair,Central,531.9525
2024-02-15,Tablet,West,8216.406
2024-01-25,Desk,East,1078.0
2025-04-15,Laptop,Central,3771.0
2025-04-15,Chair,Central,2512.656
2024-08-11,Printer,West,549.366
2023-12-01,Desk,South,1984.65
2023-08-06,Laptop,Central,4831.415
2024-01-24,Laptop,Central,2570.139
2024-03-07,Chair,Central,2819.61
2024-01-22,Tablet,South,479.565
2023-02-23,Printer,East,92.65
2023-06-14,Tablet,North,2590.4
2025-05-13,Laptop,North,5841.664
2024-07-30,Printer,Central,2228.496
2024-07-18,Tablet,East,117.05
2024-08-26,Printer,East,8311.3
2025-06-08,Tablet,West,3009.524
2025-05-16,Desk,North,5117.64
2024-07-18,Phone,East,6197.1
2023-09-17,Laptop,West,5633.28
2023-03-13,Monitor,East,3308.641
2023-03-29,Chair,South,2148.102
2023-07-14,Desk,Central,2790.72
2024-03-22,Laptop,West,3592.9855
2024-05-14,Laptop,Central,2271.951
2023-05-30,Monitor,Central,811.984
2023-03-19,Phone,North,842.669
2023-08-09,Desk,Central,3100.9615
2024-10-13,Chair,North,4604.093
2025-02-17,Chair,East,6484.28
2025-06-11,Phone,North,2338.452
2024-04-29,Tablet,Central,654.64
2023-03-18,Laptop,West,7820.6375
2024-12-21,Chair,North,3081.24
2023-04-23,Chair,West,5085.414
2025-05-11,Chair,Central,3005.895
2024-03-03,Phone,South,3445.2
2025-01-20,Monitor,North,985.0395
2025-03-22,Tablet,North,1129.95
2025-03-28,Printer,South,5313.52
2025-02-17,Phone,North,5357.0595
2024-11-08,Tablet,South,3186.6
2024-03-17,Phone,South,551.133
2023-08-29,Monitor,South,1424.979
2023-06-22,Chair,South,4075.26
2024-02-24,Phone,South,2800.96
2024-04-10,Phone,North,1854.97
2023-05-14,Monitor,South,3784.3
2023-03-11,Monitor,South,478.992
2024-08-24,Printer,Central,79.6
2024-02-23,Monitor,South,1634.992
2024-01-30,Monitor,North,1241.46
2024-01-23,Tablet,East,832.05
2023-01-05,Laptop,North,8806.69
2023-12-21,Desk,North,1893.255
2023-05-25,Laptop,West,6521.75
2025-06-30,Chair,Central,485.724
2025-02-12,Desk,West,1294.28
2024-01-03,Tablet,West,1774.548
2023-02-03,Tablet,South,2926.62
2024-03-01,Monitor,East,9227.94
2023-05-24,Tablet,North,2759.484
2025-06-22,Printer,North,8525.262
2023-04-10,Chair,North,744.1445
2025-03-04,Printer,Central,3888.56
2024-07-11,Laptop,East,2997.162
2024-08-17,Desk,East,5474.04
2025-06-30,Laptop,North,1096.848
2024-11-06,Printer,South,1359.585
2025-04-01,Tablet,East,157.8
2024-07-01,Laptop,West,1108.384
2023-12-09,Printer,West,7215.003
2023-06-27,Desk,North,6458.535
2023-07-14,Chair,South,4515.66
2023-02-08,Tablet,South,1472.8035
2024-06-28,Tablet,West,900.201
2024-04-15,Laptop,West,286.86
2023-11-27,Monitor,East,6138.9
2025-03-27,Printer,East,435.85
2023-08-06,Monitor,South,3139.416
2024-12-13,Printer,South,728.535
2025-01-17,Tablet,Central,1899.954
2023-11-26,Desk,West,1160.46
2023-02-14,Chair,East,2961.072
2025-02-02,Printer,Central,1736.7
2023-04-11,Printer,West,1313.604
2024-07-08,Monitor,North,6723.648
2023-02-08,Printer,Central,2670.887
2024-04-09,Desk,West,234.94
2023-08-14,Printer,Central,3532.6935
2024-09-02,Tablet,West,3767.396
2025-06-29,Monitor,Central,3782.568
2025-04-02,Laptop,West,1102.361
2023-04-27,Tablet,Central,4291.44
2024-08-07,Phone,East,94.33
2023-04-15,Laptop,West,7055.136
2023-08-12,Desk,South,2096.498
2023-06-19,Printer,West,8605.9865
2023-12-29,Printer,East,162.108
2023-03-26,Desk,East,3075.3
2023-09-01,Phone,South,4650.35
2024-08-05,Tablet,West,1010.124
2025-01-23,Chair,North,9000.32
2023-05-16,Tablet,East,306.576
2023-02-14,Tablet,North,4605.402
2024-06-03,Tablet,Central,220.8895
2023-11-08,Tablet,Central,5096.75
2023-01-24,Phone,West,2661.3
2025-03-20,Laptop,West,8431.326
2024-02-22,Monitor,West,139.916
2025-04-02,Printer,North,4217.19
2025-06-12,Chair,North,7630.875
2023-05-13,Laptop,East,492.4815
2023-03-25,Desk,South,5777.96
2024-11-22,Printer,South,5883.768
2023-07-07,Tablet,East,215.73
2024-10-05,Tablet,East,10949.7
2024-03-31,Laptop,West,844.2
2025-04-01,Printer,West,731.044
2023-08-23,Printer,West,6266.561
2024-08-14,Phone,South,257.94
2025-02-14,Tablet,Central,7644.033
2023-11-11,Monitor,West,205.758
2024-04-01,Desk,Central,6944.959
2024-06-13,Chair,South,2640.24
2023-11-28,Chair,North,2819.286
2024-11-11,Desk,Central,2831.895
2024-11-04,Desk,North,651.68
2023-01-01,Chair,Central,5150.42
2025-01-18,Tablet,North,370.386
2023-05-02,Printer,Central,1657.37
2025-05-27,Printer,West,2985.455
2024-12-27,Monitor,South,6944.364
2025-03-18,Chair,West,236.034
2024-03-24,Laptop,East,3570.66
2024-12-26,Laptop,East,2944.962
2023-01-11,Desk,North,1154.649
2025-06-01,Laptop,South,3383.068
2024-09-26,Desk,East,4420.119
2024-08-10,Phone,East,6072.66
2025-03-02,Phone,South,369.792
2023-02-21,Tablet,East,1908.2
2024-11-20,Laptop,East,3377.58
2023-08-26,Chair,East,365.8
2024-01-01,Monitor,South,1462.02
2024-11-24,Printer,South,3766.104
2024-08-25,Tablet,South,299.047
2023-06-10,Laptop,South,636.803
2024-12-18,Printer,North,2945.88
2023-08-28,Chair,East,1072.284
2023-01-22,Phone,West,1826.37
2023-02-07,Monitor,North,1291.1415
2023-11-22,Monitor,South,1054.348
2023-01-25,Desk,West,686.103
2025-03-05,Tablet,South,6428.916
2023-02-02,Printer,North,4846.23
2023-05-24,Tablet,North,6823.44
2024-05-30,Printer,South,1061.106
2024-01-23,Desk,West,7389.645
2023-02-06,Chair,North,1848.155
2024-07-15,Phone,West,6785.1375
2025-03-06,Chair,East,400.635
2023-07-29,Phone,Central,105.264
2023-07-26,Printer,North,1918.404
2024-04-10,Tablet,West,2122.272
2025-01-24,Desk,North,971.04
2025-04-27,Laptop,West,1007.334
2025-02-20,Phone,East,837.576
2023-09-14,Printer,North,1962.395
2024-04-17,Tablet,West,2105.705
2024-11-14,Tablet,Central,6732.84
2024-07-25,Chair,North,3337.335
2024-08-05,Phone,East,4637.862
2025-01-23,Laptop,West,3195.24
2025-04-27,Printer,West,4481.744
2024-09-20,Phone,South,1020.6
2023-09-08,Laptop,West,3437.2045
2025-04-20,Laptop,South,2894.6
2024-06-20,Phone,North,1233.684
2023-01-11,Tablet,East,6258.36
2023-07-04,Desk,North,7561.2685
2025-03-08,Monitor,Central,67.3965
2025-02-10,Chair,South,2657.61
2025-03-17,Monitor,West,2609.19
2023-11-09,Printer,East,405.4695
2023-11-30,Printer,Central,5045.7825
2024-08-15,Tablet,South,7171.4
2023-03-21,Tablet,West,504.336
2023-10-26,Monitor,West,248.8
2023-11-03,Phone,West,191.808
2025-01-30,Chair,North,4699.208
2024-01-25,Laptop,West,5600.478
2025-03-29,Laptop,South,2360.79
2024-11-02,Chair,Central,1436.16
2024-06-30,Chair,Central,5889.07
2023-01-11,Tablet,South,126.198
2025-06-05,Desk,North,6065.02
2024-03-21,Monitor,North,8539.2
2023-08-31,Desk,South,3233.952
2024-10-07,Phone,South,8447.096
2023-04-12,Laptop,North,6398.8
2023-11-06,Printer,South,404.5575
2023-04-28,Desk,West,358.207
2023-12-18,Printer,West,2478.357
2024-10-10,Phone,South,1482.39
2023-02-05,Tablet,North,6056.64
2024-08-04,Monitor,Central,186.966
2024-10-23,Tablet,Central,4015.08
2024-02-13,Monitor,West,2354.0335
2024-06-03,Tablet,South,153.3
2023-04-14,Printer,South,6707.112
2024-10-19,Laptop,Central,6631.912
2023-12-18,Laptop,South,1880.4015
2023-08-31,Laptop,North,1322.685
2023-09-19,Laptop,South,1861.704
2023-02-27,Laptop,Central,403.0785
2024-01-28,Tablet,South,3521.394
2025-05-06,Monitor,South,1117.53
2024-09-13,Monitor,East,713.412
2023-05-25,Printer,East,2469.402
2024-09-26,Tablet,South,622.09
2023-02-13,Phone,South,1207.64
2024-06-20,Chair,Central,1945.575
2024-03-22,Laptop,West,10649.5
2024-02-08,Monitor,West,1497.375
2024-06-01,Desk,East,552.933
2024-05-26,Laptop,North,9384.32
2024-06-25,Printer,East,1677.28
2024-01-29,Printer,Central,8618.112
2024-12-07,Chair,South,2795.964
2023-11-21,Chair,West,2833.475
2024-12-16,Chair,North,2727.936
2023-08-05,Monitor,Central,1928.88
2023-08-30,Chair,Central,649.089
2025-03-25,Printer,East,965.787
2024-12-13,Phone,North,408.15
2023-09-07,Phone,Central,729.26
2023-12-12,Monitor,North,3990.07
2024-04-25,Monitor,East,9998.37
2025-05-04,Laptop,North,2002.668
2023-09-16,Monitor,South,7665.417
2024-10-23,Desk,West,8933.364
2023-05-03,Desk,North,175.5
2025-03-18,Printer,North,5722.744
2023-08-25,Chair,West,6671.34
2023-07-13,Monitor,North,8133.444
2025-02-25,Tablet,North,2788.578
2025-04-14,Laptop,Central,3591.378
2025-06-15,Desk,Central,26.22
2024-10-22,Monitor,North,6419.25
2023-06-20,Laptop,South,2417.94
2025-03-05,Phone,South,2994.951
2023-10-28,Tablet,West,1723.545
2025-03-19,Laptop,Central,8265.57
2023-08-06,Tablet,West,2112.268
2024-09-11,Monitor,Central,2888.76
2025-01-08,Chair,Central,1414.8
2024-08-12,Chair,Central,447.75
2023-03-30,Monitor,North,2675.124
2023-02-01,Phone,Central,1692.32
2025-04-18,Laptop,North,3409.8
2025-03-29,Monitor,Central,1481.733
2024-04-25,Tablet,East,156.204
2024-09-22,Monitor,South,2324.5075
2023-08-05,Tablet,Central,2206.26
2024-06-07,Desk,South,401.926
2025-05-24,Phone,East,5455.793
2024-07-18,Chair,South,2147.355
2024-07-14,Tablet,West,234.954
2023-04-14,Tablet,Central,70.224
2023-06-01,Printer,South,502.884
2025-04-17,Phone,Central,1683.18
2025-03-31,Printer,East,7294.29
2024-07-15,Printer,East,3259.7
2024-08-30,Laptop,South,7978.44
2025-01-07,Phone,Central,2426.97
2025-02-05,Phone,South,526.832
2024-04-01,Printer,North,2372.112
2025-03-01,Monitor,West,264.48
2023-07-03,Monitor,Central,608.7445
2023-04-25,Laptop,Central,2277.5155
2025-04-09,Tablet,West,6442.254
2023-11-05,Monitor,North,2697.42
2023-01-13,Laptop,East,2007.09
2025-02-06,Chair,West,3473.729
2023-05-20,Monitor,South,1181.18
2025-06-18,Desk,East,436.2
2023-02-23,Tablet,West,2947.2
2024-11-09,Printer,East,5700.45
2024-07-25,Tablet,South,1190.103
2023-08-19,Laptop,West,5510.1675
2023-11-13,Monitor,South,6221.709
2024-09-10,Tablet,West,5470.9265
2024-08-30,Chair,Central,7377.5
2024-11-10,Tablet,East,7042.8
2023-04-13,Printer,East,336.6765
2023-11-20,Laptop,East,2231.322
2025-04-14,Printer,North,1752.02
2023-03-04,Monitor,Central,5221.975
2024-11-16,Laptop,North,596.156
2024-05-25,Laptop,South,9095.87
2023-04-12,Desk,East,1552.865
2023-03-07,Desk,South,3377.305
2024-01-05,Chair,Central,3687.453
2024-10-31,Desk,West,1397.4
2024-05-08,Monitor,West,2459.088
2024-03-05,Monitor,Central,6.97
2023-07-18,Laptop,North,4598.424
2023-08-05,Printer,South,2180.52
2023-09-18,Tablet,West,8514.47
2023-03-27,Laptop,South,56.232
2023-03-08,Chair,East,3091.756
2024-05-02,Desk,West,1042.1
2023-09-16,Desk,North,2360.6965
2023-06-13,Tablet,South,8175.44
2023-11-05,Desk,North,2607.552
2024-11-23,Tablet,South,3319.52
2024-02-09,Phone,Central,7075.52
2023-11-16,Printer,Central,7501.914
2025-01-24,Monitor,Central,894.03
2025-05-06,Tablet,Central,1901.5605
2025-05-17,Printer,East,6461.8275
2023-11-29,Laptop,Central,8689.992
2023-02-24,Chair,South,3005.44
2023-11-04,Laptop,South,6522.39
2024-06-15,Desk,East,448.515
2024-10-02,Tablet,North,6962.246
2023-06-03,Tablet,West,146.799
2023-09-10,Phone,East,2405.874
2025-05-20,Printer,Central,5205.3065
2023-09-24,Tablet,North,1355.562
2025-03-29,Tablet,East,6451.812
2023-06-17,Chair,East,2105.28
2024-01-28,Printer,West,7219.9
2023-03-14,Chair,Central,2580.768
2025-01-09,Laptop,East,1783.92
2025-03-30,Phone,Central,6261.848
2023-10-23,Tablet,East,1588.2575
2025-06-08,Monitor,West,1529.286
2024-02-26,Monitor,West,4288.24
2024-10-30,Chair,East,4412.925
2024-08-19,Laptop,South,1481.652
2023-07-30,Chair,Central,475.479
2024-08-13,Monitor,North,1024.48
2023-11-04,Printer,North,2215.2195
2025-06-05,Printer,East,9331.85
2023-06-23,Printer,North,1801.7
2024-09-21,Laptop,South,5342.4
2024-01-01,Desk,South,1618.434
2025-01-02,Laptop,West,374.33
2024-03-14,Desk,North,6506.24
2024-05-04,Monitor,West,2579.72
2025-02-27,Printer,South,4610.4
2024-11-13,Phone,Central,1616.666
2023-10-31,Printer,West,1096.038
2023-12-19,Tablet,Central,2434.14
2023-11-27,Tablet,South,6771.6
2023-08-15,Laptop,East,839.952
2023-01-16,Phone,West,11077.0
2025-02-28,Tablet,Central,949.689
2023-11-28,Phone,West,1065.02
2023-12-04,Printer,West,241.371
2024-06-21,Printer,South,6251.7925
2025-03-17,Desk,East,1550.304
2023-08-17,Desk,Central,6545.376
2023-08-30,Monitor,Central,4332.361
2025-06-16,Phone,East,2858.571
2023-06-29,Chair,North,1138.14
2023-08-13,Monitor,North,875.14
2024-04-29,Tablet,West,6977.56
2023-07-15,Monitor,West,3456.96
2025-01-17,Tablet,North,35.991
2025-02-21,Printer,East,1377.09
2023-07-19,Monitor,West,10531.0
2024-09-29,Phone,West,3550.701
2024-10-17,Laptop,East,779.875
2025-06-11,Phone,East,184.41
2024-01-19,Desk,West,800.442
2023-12-03,Chair,East,4628.5305
2024-06-19,Chair,Central,1409.04
2024-10-16,Tablet,West,3744.4725
2025-01-23,Laptop,East,630.326
2023-10-02,Laptop,Central,1188.432
2023-11-05,Desk,East,1726.38
2023-06-18,Printer,South,2243.748
2024-07-15,Phone,Central,464.576
2024-06-14,Laptop,Central,517.374
2024-04-05,Monitor,East,5175.8625
2023-02-27,Laptop,North,430.61
2023-07-31,Laptop,West,2540.25
2023-03-03,Laptop,West,5778.8185
2023-04-26,Laptop,South,3981.825
2024-10-19,Phone,East,2965.734
2024-06-30,Printer,Central,6825.1685
2024-10-11,Laptop,West,5371.47
2025-06-14,Monitor,Central,2079.54
2024-12-22,Laptop,East,8107.128
2024-04-22,Tablet,West,1910.85
2025-01-25,Chair,North,932.127
2024-11-13,Laptop,North,1148.0525
2023-03-16,Tablet,East,816.255
2023-05-06,Laptop,North,6719.274
2024-11-15,Monitor,East,982.4
2024-06-28,Laptop,Central,1297.32
2025-05-11,Monitor,Central,578.5525
2023-02-26,Tablet,Central,2201.085
2024-04-30,Laptop,South,1657.44
2025-03-11,Laptop,East,705.126
2025-06-30,Phone,East,5558.298
2024-06-02,Chair,North,8118.7
2024-09-01,Laptop,South,8009.312
2025-01-11,Laptop,South,2319.03
2025-03-31,Phone,South,404.6
2024-11-28,Phone,South,1836.38
2023-07-05,Chair,North,639.1575
2024-10-24,Monitor,West,5436.1185
2025-04-08,Chair,North,193.977
2024-06-05,Laptop,East,477.36
2025-01-23,Phone,West,2634.32
2024-11-04,Tablet,Central,5006.9845
2024-01-01,Printer,West,2261.6035
2024-04-09,Printer,Central,750.33
2025-01-17,Desk,North,6321.84
2024-09-22,Chair,East,10351.8
2023-01-20,Monitor,East,2343.744
2024-01-12,Monitor,North,1869.966
2024-04-08,Laptop,Central,952.47
2023-04-27,Laptop,Central,4990.32
2024-07-17,Phone,North,1278.264
2024-02-17,Monitor,Central,6792.94
2024-01-25,Monitor,South,3184.362
2024-03-24,Laptop,Central,983.71
2023-06-25,Desk,North,4661.5275
2023-04-17,Laptop,South,6017.49
2023-06-28,Chair,East,4106.34
2024-04-06,Chair,Central,3377.815
2025-02-17,Chair,South,196.7
2023-01-08,Desk,South,3490.02
2023-12-21,Phone,South,548.9005
2024-07-13,Monitor,North,4978.665
2024-03-23,Monitor,West,190.604
2024-03-19,Chair,West,109.55
2025-05-20,Tablet,Central,3427.65
2025-01-19,Chair,South,6459.31
2023-05-28,Printer,South,8480.025
2023-10-28,Printer,East,1046.0865
2023-11-25,Monitor,West,496.15
2024-11-17,Monitor,South,4528.62
2024-01-24,Monitor,Central,2244.2295
2023-06-19,Chair,North,1807.5505
2025-01-13,Phone,East,4483.75
2024-01-24,Phone,East,647.712
2025-01-06,Printer,South,528.0
2025-01-02,Laptop,Central,1535.086
2023-02-22,Desk,North,309.456
2025-02-06,Desk,East,168.282
2024-09-26,Desk,East,1507.8305
2025-03-28,Chair,North,9958.14
2023-07-01,Chair,East,1951.965
2023-04-29,Desk,West,1486.422
2023-04-30,Printer,East,6281.84
2024-03-14,Phone,West,1136.72
2023-06-27,Chair,Central,1268.9055
2024-04-10,Laptop,North,180.12
2023-08-30,Printer,Central,375.836
2023-10-23,Laptop,West,419.0925
2023-03-23,Desk,North,3396.33
2024-09-21,Laptop,Central,837.2585
2024-12-26,Tablet,West,1385.28
2023-02-26,Phone,East,84.5
2024-12-10,Monitor,North,566.32
2025-01-01,Laptop,East,8945.91
2025-03-14,Phone,East,79.118
2024-01-16,Tablet,South,1984.185
2024-04-19,Tablet,West,2784.5
2023-12-08,Monitor,North,5083.127
2023-03-15,Monitor,North,3092.117
2025-02-07,Laptop,South,216.8945
2025-06-27,Monitor,North,307.3345
2024-12-17,Tablet,Central,461.8805
2024-05-03,Laptop,South,1520.019
2023-12-26,Printer,South,812.16
2024-05-13,Printer,Central,832.1335
2023-10-07,Laptop,South,3034.2
2023-07-11,Printer,West,2848.1
2025-01-31,Tablet,South,1639.8425
2023-02-04,Chair,South,564.129
2023-09-02,Printer,South,11.142
2024-12-13,Monitor,Central,3172.455
2023-10-13,Tablet,Central,376.35
2024-10-03,Monitor,South,367.605
2024-04-28,Desk,Central,2450.97
2024-02-07,Desk,Central,3820.92
2023-02-08,Chair,South,5328.99
2023-06-17,Phone,South,355.6825
2024-07-29,Monitor,West,3029.4
2024-01-29,Printer,West,8229.76
2024-01-18,Phone,East,534.96
2024-08-12,Chair,North,2780.0
2025-04-16,Monitor,West,4198.824
2023-02-26,Desk,Central,1088.928
2023-01-07,Desk,East,6936.007
2023-10-24,Desk,South,1798.05
2024-01-02,Tablet,North,1472.37
2024-09-17,Laptop,South,6081.852
2024-05-05,Tablet,Central,7250.324
2025-06-27,Desk,West,1467.44
2024-05-14,Phone,West,1887.408
2024-02-29,Chair,North,1528.215
2025-05-19,Phone,East,1153.62
2024-12-02,Desk,East,3106.9845
2024-07-30,Printer,West,5444.454
2023-06-25,Desk,South,2073.924
2024-07-10,Chair,South,10084.4
2023-01-06,Laptop,East,1220.058
2024-02-24,Chair,South,731.241
2023-12-11,Tablet,Central,1117.44
2025-02-19,Printer,South,4730.726
2025-03-18,Tablet,West,212.364
2023-09-22,Phone,South,3024.504
2023-12-23,Tablet,West,1091.88
2025-05-04,Desk,North,1419.813
2025-01-11,Phone,East,7200.9
2025-04-21,Printer,South,124.3265
2023-12-13,Tablet,Central,1244.298
2024-02-07,Chair,East,5249.556
2024-04-24,Tablet,North,688.37
2023-09-11,Chair,West,1592.78
2025-06-09,Printer,Central,179.2
2025-06-06,Desk,East,999.396
2024-12-23,Chair,South,3770.37
2023-08-27,Monitor,East,3637.08
2023-01-09,Monitor,East,1889.55
2025-04-22,Laptop,East,2042.136
2023-09-06,Phone,South,115.668
2023-01-21,Monitor,East,3850.578
2024-04-26,Chair,Central,7103.04
2023-06-27,Phone,North,619.9795
2023-01-01,Tablet,East,4480.65
2023-12-30,Tablet,West,667.7175
2023-01-22,Phone,Central,562.626
2024-07-27,Laptop,South,3747.484
2024-01-15,Chair,South,1749.48
2024-01-04,Tablet,West,103.13
2023-02-09,Monitor,East,514.805
2024-06-20,Phone,North,3000.591
2023-02-21,Desk,Central,645.9145
2023-08-16,Desk,Central,2557.08
2023-11-03,Monitor,West,1186.416
2024-04-26,Laptop,South,4838.464
2024-10-08,Desk,South,3415.6485
2023-01-09,Desk,South,3727.008
2023-12-25,Printer,North,2331.414
2024-05-11,Monitor,Central,5265.24
2023-11-23,Tablet,West,4817.34
2023-12-10,Printer,Central,660.858
2024-02-03,Printer,North,5239.82
2024-11-24,Chair,Central,3071.16
2024-03-06,Phone,West,324.0285
2025-02-01,Desk,South,162.4775
2024-06-04,Laptop,Central,1581.02
2023-08-06,Desk,Central,4164.952
2023-06-30,Printer,West,8298.63
2023-02-15,Printer,West,7084.701
2024-01-23,Printer,North,385.472
2024-10-31,Tablet,North,1203.107
2023-12-19,Desk,Central,881.45
2023-07-04,Tablet,South,1396.614
2024-05-16,Laptop,East,2076.9155
2023-09-16,Monitor,North,1638.72
2024-11-22,Chair,East,1610.91
2024-04-13,Chair,West,7465.635
2024-06-30,Chair,South,5126.76
2024-08-29,Desk,North,8015.211
2023-12-26,Desk,Central,626.751
2025-01-30,Phone,North,2743.596
2023-05-17,Chair,South,336.8975
2024-01-27,Desk,Central,1659.744
2025-05-26,Printer,East,1347.03
2025-03-09,Phone,North,506.41
2024-02-22,Tablet,West,1764.09
2025-02-03,Tablet,East,4361.01
2024-01-09,Printer,Central,4230.996
2025-05-05,Desk,North,2500.533
2023-04-17,Desk,Central,2463.885
2024-06-16,Desk,South,4186.56
2024-11-01,Phone,South,7290.45
2025-02-07,Tablet,East,1893.171
2024-11-24,Monitor,South,1772.658
2024-04-23,Monitor,Central,5716.75
2024-06-24,Laptop,East,2269.4265
2025-06-01,Monitor,West,3135.024
2023-03-12,Tablet,West,532.2
2024-11-11,Desk,Central,479.38
2024-10-17,Tablet,Central,286.488
2023-05-10,Printer,East,3536.28
2023-07-29,Laptop,East,3164.58
2023-08-26,Phone,Central,6513.584
2023-12-28,Laptop,East,6765.14
2025-03-10,Tablet,North,3884.211
2023-09-09,Desk,Central,190.026
2023-05-28,Tablet,North,529.686
2025-05-21,Monitor,West,271.5665
2023-09-30,Laptop,East,3244.668
2024-10-08,Laptop,South,261.792
2023-04-14,Laptop,East,1749.4
2023-03-05,Monitor,South,7123.68
2024-07-17,Desk,North,4511.987
2024-05-20,Tablet,North,6158.592
2025-05-06,Laptop,North,3803.355
2023-01-15,Desk,North,2775.0
2024-01-09,Monitor,Central,6512.022
2023-07-12,Chair,South,1512.558
2025-06-21,Chair,East,3928.7535
2024-12-29,Printer,North,155.61
2023-05-23,Tablet,West,3746.781
2024-04-03,Desk,Central,382.095
2024-01-17,Laptop,East,2029.293
2025-04-05,Monitor,Central,417.528
2025-04-17,Chair,Central,3086.3925
2024-10-12,Laptop,Central,91.238
2024-07-27,Chair,Central,480.852
2025-01-10,Tablet,West,250.2825
2024-07-25,Chair,South,705.09
2024-05-22,Tablet,West,1449.036
2024-08-10,Desk,Central,2010.314
2023-04-27,Tablet,West,203.908
2023-06-21,Tablet,South,475.912
2024-10-11,Printer,West,8878.947
2025-01-26,Laptop,North,166.7535
2024-06-18,Chair,South,7712.424
2025-06-18,Monitor,East,7133.71
2024-10-29,Laptop,South,507.984
2025-04-08,Phone,Central,596.12
2023-01-31,Tablet,Central,1642.1795
2024-03-15,Chair,West,6001.128
2023-06-23,Tablet,North,4482.176
2024-06-14,Monitor,North,9625.8845
2023-11-30,Desk,West,1094.4
2024-04-21,Laptop,North,3809.025
